,wardrobe_size,wardrobe_color,wardrobe_style,wardrobe_price,wardrobe_designer,scores,wardrobe_id
8135,6,15,0,0,673,-2.5118713,1613261566148
5169,4,15,0,0,673,-2.5118713,1607660731120
6678,4,15,0,0,673,-2.5118713,1610990217371
6859,0,15,0,0,673,-2.5118713,1611864427560
1621,6,15,0,0,673,-2.5118713,1597617745950
5859,2,15,0,0,673,-2.5118713,1608690859530
6684,8,10,0,500,673,-2.5413256,1611003767917
4771,8,12,0,0,673,-2.5436676,1606006001543
4770,8,8,0,0,673,-2.5436676,1606002763704
3060,8,11,0,0,673,-2.5436676,1601377209246
2311,8,2,0,0,673,-2.5436676,1599086951394
2039,12,15,0,0,571,-2.5609624,1597990868958
1892,12,15,0,0,571,-2.5609624,1597990619263
2040,18,15,0,0,571,-2.5609624,1597990870215
7988,6,15,0,0,658,-2.5639467,1612833182541
2375,2,15,0,0,620,-2.5639467,1599417042491
6593,6,15,0,0,632,-2.5639467,1610501277664
4756,2,15,0,0,606,-2.5639467,1605987469665
4746,6,15,0,0,609,-2.5639467,1605976048548
1071,10,0,10,500,763,-2.570111,1596914916703
3092,10,0,9,0,783,-2.570111,1601510957324
1074,10,0,10,500,763,-2.570111,1596914966984
6612,10,0,2,0,787,-2.570111,1609231984377
548,10,0,7,0,763,-2.570111,1596744139495
992,10,0,2,0,763,-2.570111,1596867362798
1316,10,0,2,0,763,-2.570111,1596938401103
684,10,0,6,500,763,-2.570111,1596787749966
6022,10,0,2,0,787,-2.570111,1609232467022
7882,10,0,2,0,777,-2.570111,1612360410898
606,10,0,8,0,763,-2.570111,1596784317631
6424,10,0,6,0,801,-2.570111,1609974924444
6009,10,0,2,0,787,-2.570111,1609205137131
6012,10,0,2,0,787,-2.570111,1609206084850
6008,10,0,2,0,787,-2.570111,1609204289046
824,10,0,6,0,763,-2.570111,1596840003520
3849,10,0,2,0,817,-2.570111,1604602716331
1188,10,0,6,0,763,-2.570111,1596930227372
18,10,0,2,0,763,-2.570111,1596574596873
636,10,0,8,0,763,-2.570111,1596785515306
1377,10,0,2,500,763,-2.570111,1596949882260
1121,10,0,8,500,763,-2.570111,1596927753215
6422,10,0,6,0,801,-2.570111,1609974808954
6418,10,0,8,0,801,-2.570111,1609974758439
1450,10,0,8,0,763,-2.570111,1596960571435
1657,8,15,1,500,636,-2.5836432,1597805612196
5840,8,2,0,0,632,-2.595743,1608486288941
2930,8,12,0,0,620,-2.595743,1600929456972
2933,8,12,0,0,620,-2.595743,1600929806433
4724,8,11,0,0,645,-2.595743,1605916324627
2926,8,12,0,0,620,-2.595743,1600929001430
2837,8,10,0,0,581,-2.595743,1600614443665
5147,8,6,0,0,650,-2.595743,1607360932750
4721,8,11,0,0,645,-2.595743,1605911189556
5877,8,6,0,0,595,-2.595743,1602005031320
3130,8,0,8,0,544,-2.63789,1601745592566
3514,8,0,6,0,544,-2.63789,1603151072414
2327,6,15,0,2000,673,-2.653891,1599176669116
4176,10,15,1,0,431,-2.6749797,1605577132873
2373,10,15,1,0,480,-2.6749797,1592083994819
6898,10,15,1,0,108,-2.6749797,1612023876685
4245,10,15,1,0,195,-2.6749797,1605663026314
2433,22,0,0,0,539,-2.7020378,1598219969895
4128,16,0,0,0,391,-2.7020378,1605474947011
4034,18,0,0,0,179,-2.7020378,1605126244527
4122,12,0,0,0,279,-2.7020378,1605474005810
4309,20,0,0,0,299,-2.7020378,1605663072647
3014,14,0,0,0,199,-2.7020378,1601244691990
8055,12,0,0,0,466,-2.7020378,1613006786277
3858,16,0,0,0,227,-2.7020378,1604608995962
4548,10,21,1,500,544,-2.7617319,1605739611796
313,14,15,0,0,763,-2.817343,1596645988832
314,16,15,0,0,763,-2.817343,1596646009119
315,20,15,0,0,763,-2.817343,1596646025083
4861,30,15,0,0,728,-2.817343,1606242218153
8206,8,15,1,0,763,-2.8405952,1613452631383
2479,6,20,0,0,702,-2.8850746,1599610268364
2798,4,19,0,0,705,-2.8850746,1600454358885
4752,10,20,0,0,480,-2.899011,1605982777657
6574,10,20,0,0,36,-2.899011,1610384477271
163,10,20,0,0,235,-2.899011,1593557343681
3201,4,15,0,0,403,-2.9131284,1601929749517
8170,2,15,0,0,191,-2.9131284,1613360407932
8061,2,15,0,0,403,-2.9131284,1613025494703
3257,4,15,0,0,403,-2.9131284,1602079859938
2232,6,15,0,0,212,-2.9131284,1597378429674
5057,4,15,0,0,383,-2.9131284,1607105270095
2231,6,15,0,0,212,-2.9131284,1597378356984
7892,2,15,0,0,299,-2.9131284,1612382223620
3661,4,15,0,0,95,-2.9131284,1603748010619
7874,0,15,0,500,403,-2.9131284,1612331613807
2589,4,15,0,0,118,-2.9131284,1599848177879
5856,4,15,0,0,94,-2.9131284,1608676455950
3741,6,15,0,0,78,-2.9131284,1604075817508
3742,0,15,0,0,403,-2.9131284,1604083246261
5158,6,15,0,0,235,-2.9131284,1607614598337
6705,0,15,0,0,118,-2.9131284,1611095506877
3779,6,15,0,0,82,-2.9131284,1604283757691
5172,0,15,0,0,299,-2.9131284,1607727120509
6900,0,15,0,0,390,-2.9131284,1612024160060
1676,6,15,0,0,373,-2.9131284,1597854089087
2983,4,15,0,0,227,-2.9131284,1601144879192
2982,4,15,0,0,227,-2.9131284,1601144788166
8162,6,15,0,0,52,-2.9131284,1613319481121
3423,0,15,0,0,127,-2.9131284,1602564313426
5003,4,15,0,0,73,-2.9131284,1606930862519
6073,0,15,0,0,4,-2.9131284,1609577537128
6670,4,15,0,0,232,-2.9131284,1610935759302
4010,2,15,0,0,374,-2.9131284,1605048802594
2539,2,15,0,0,248,-2.9131284,1599704410414
7106,8,20,1,0,571,-2.9306786,1612168623126
7493,8,20,1,0,571,-2.9306786,1612168981885
7049,8,20,1,0,571,-2.9306786,1612168525431
7371,8,20,1,0,571,-2.9306786,1612168910797
6997,8,20,1,0,571,-2.9306786,1612168496476
7076,8,20,1,0,571,-2.9306786,1612168539891
7335,8,21,1,0,571,-2.9306786,1612168892458
2536,10,0,2,0,308,-2.9400487,1599682760846
4933,10,0,3,0,449,-2.9400487,1606619077749
2991,10,0,9,500,269,-2.9400487,1601149919797
3121,10,0,2,0,414,-2.9400487,1601736002738
6170,10,0,6,0,48,-2.9400487,1609841590223
5440,10,0,9,0,23,-2.9400487,1607985517990
3086,10,0,6,0,480,-2.9400487,1601491120774
5396,10,0,9,0,23,-2.9400487,1607985494206
7879,10,0,2,0,88,-2.9400487,1612359898347
3662,10,0,6,0,403,-2.9400487,1603749312612
4076,10,0,6,0,403,-2.9400487,1605289170036
1510,10,0,2,0,65,-2.9400487,1597121624442
3672,10,0,10,0,403,-2.9400487,1603765589475
1702,10,0,2,0,130,-2.9400487,1597957702494
5748,10,0,8,0,23,-2.9400487,1607985813575
1574,10,0,8,0,270,-2.9400487,1597360941869
5918,10,0,2,0,476,-2.9400487,1609006878164
5976,10,0,2,0,110,-2.9400487,1609194023194
5363,10,0,8,0,23,-2.9400487,1607985476703
3253,10,0,8,0,127,-2.9400487,1602056269447
1264,8,0,7,500,763,-2.9438312,1596935485354
1019,8,0,2,0,763,-2.9438312,1596879010329
3958,8,0,2,0,796,-2.9438312,1604941614889
3717,8,0,9,0,829,-2.9438312,1603922125445
1384,8,0,2,0,763,-2.9438312,1596950243841
1337,8,0,2,0,763,-2.9438312,1596939536267
6408,8,0,6,0,801,-2.9438312,1609974616651
19,8,0,2,500,763,-2.9438312,1596574716011
1053,8,0,2,500,763,-2.9438312,1596880356452
1069,8,0,10,500,763,-2.9438312,1596914897041
717,8,0,6,0,763,-2.9438312,1596789392775
1196,8,0,6,0,763,-2.9438312,1596931650542
1184,8,0,6,0,763,-2.9438312,1596930174877
1449,8,0,8,0,763,-2.9438312,1596960571434
1123,8,0,8,500,763,-2.9438312,1596927826899
1378,8,0,2,500,763,-2.9438312,1596949905298
683,8,0,6,500,763,-2.9438312,1596787741100
823,8,0,6,0,763,-2.9438312,1596839989199
3695,8,0,6,0,801,-2.9438312,1603824513946
920,8,0,7,1000,763,-2.9438312,1596862397398
6451,8,0,6,0,801,-2.9438312,1609975522517
1356,8,0,2,500,763,-2.9438312,1596940588720
3254,8,0,9,0,831,-2.9438312,1602056575117
547,8,0,7,0,763,-2.9438312,1596744127044
875,8,0,6,500,763,-2.9438312,1596844099027
817,8,0,6,500,763,-2.9438312,1596839281827
432,8,0,2,0,763,-2.9438312,1596694425336
1315,8,0,2,0,763,-2.9438312,1596938401102
4125,8,0,2,0,820,-2.9438312,1605474491940
6141,10,0,6,0,724,-2.947959,1609840084471
2891,10,0,9,0,704,-2.947959,1600824907963
3839,4,0,1,0,722,-2.9485183,1604551227717
3426,12,15,0,0,673,-2.9545732,1593260664180
3760,24,15,0,0,673,-2.9545732,1603816423015
7953,14,15,0,0,673,-2.9545732,1612731651620
7954,14,15,0,0,673,-2.9545732,1612732089904
422,12,15,0,500,763,-2.9593625,1596693818927
423,16,15,0,500,763,-2.9593625,1596693829925
424,18,15,0,500,763,-2.9593625,1596693841647
4496,8,2,1,0,544,-2.9730318,1605663256369
2883,8,15,1,500,724,-2.9826145,1600810954456
240,8,15,1,500,763,-2.9826145,1596601126640
248,8,15,1,500,763,-2.9826145,1596601373634
4561,8,12,1,500,544,-3.1159675,1605739640834
6093,8,12,1,500,544,-3.1159675,1609794097648
6744,8,10,1,500,544,-3.1159675,1611273068977
4129,4,0,0,0,151,-3.1299834,1605475023611
3226,6,0,0,0,69,-3.1299834,1602016827591
4529,2,0,0,0,338,-3.1299834,1605708157132
5181,0,0,0,0,403,-3.1299834,1607758512723
3429,2,0,0,0,60,-3.1299834,1586031176562
4717,4,0,0,500,118,-3.1299834,1605892802193
4715,6,0,0,0,395,-3.1299834,1605892379181
6632,4,0,0,0,519,-3.1299834,1610668376489
2551,0,0,0,0,162,-3.1299834,1599749272338
3701,6,0,0,0,232,-3.1299834,1603829452788
6068,6,0,0,0,403,-3.1299834,1609530192664
1698,6,0,0,0,403,-3.1299834,1597907883156
7987,6,0,0,0,118,-3.1299834,1612833019501
8091,2,0,0,0,403,-3.1299834,1613110858266
3400,2,0,0,0,127,-3.1299834,1602511368147
2384,0,0,0,0,403,-3.1299834,1599432060711
3422,6,0,0,0,127,-3.1299834,1602563823241
4181,4,0,0,0,232,-3.1299834,1605581827342
4107,6,0,0,0,307,-3.1299834,1605419325904
2865,2,0,0,0,460,-3.1299834,1600718057847
4220,6,0,0,500,48,-3.1299834,1605663000351
4566,10,2,0,0,548,-3.1389153,1605739645596
4553,22,15,1,0,544,-3.1760893,1605739615485
2517,8,20,1,0,673,-3.2234058,1599676398819
3116,8,20,1,0,673,-3.2234058,1601666865261
7733,10,0,6,0,571,-3.2716107,1612169116544
6962,10,0,9,0,571,-3.2716107,1612168477082
1991,10,0,6,0,571,-3.2716107,1597990788743
2579,10,0,2,0,571,-3.2716107,1599806798560
7116,10,0,9,0,571,-3.2716107,1612168628815
3271,10,0,9,0,579,-3.2716107,1602095605949
1712,10,0,2,0,571,-3.2716107,1597990332251
7406,10,0,6,0,571,-3.2716107,1612168931384
7692,10,0,6,0,571,-3.2716107,1612169093872
3836,10,0,6,0,673,-3.2716107,1604547954693
6987,10,0,6,0,571,-3.2716107,1612168491334
7136,10,0,6,0,571,-3.2716107,1612168641414
7124,10,0,6,0,571,-3.2716107,1612168633764
1737,10,0,2,0,571,-3.2716107,1597990385452
7789,10,0,6,0,571,-3.2716107,1612169148600
6869,10,0,8,0,673,-3.2716107,1611875717608
4580,10,0,6,0,571,-3.2716107,1605775413427
4612,10,0,9,0,610,-3.2716107,1605775735056
2902,10,0,2,0,620,-3.2716107,1600837663910
7372,10,20,1,0,571,-3.2717218,1612168911299
7107,10,20,1,0,571,-3.2717218,1612168623599
7494,10,20,1,0,571,-3.2717218,1612168982423
7336,10,21,1,0,571,-3.2717218,1612168892950
7077,10,20,1,0,571,-3.2717218,1612168540361
7025,10,20,1,0,571,-3.2717218,1612168511128
6998,10,20,1,0,571,-3.2717218,1612168496938
3227,6,0,1,0,597,-3.2719786,1602016989571
7278,6,0,1,0,571,-3.2719786,1612168862586
3675,0,0,1,0,673,-3.2719786,1603766212485
7277,2,0,1,0,571,-3.2719786,1612168862063
4585,4,0,1,0,571,-3.2719786,1605775419031
764,4,0,1,0,632,-3.2719786,1596816032594
7276,0,0,1,0,571,-3.2719786,1612168861269
7354,4,0,1,0,571,-3.2719786,1612168902209
6650,2,0,1,0,673,-3.2719786,1610853825974
7305,6,0,1,0,571,-3.2719786,1612168877152
7355,6,0,1,0,571,-3.2719786,1612168902723
3506,10,20,1,0,706,-3.2760332,1603073797843
427,10,2,0,500,763,-3.30192,1596693930024
279,10,6,0,500,763,-3.30192,1596603252921
950,10,2,0,500,763,-3.30192,1596863944646
353,10,2,0,500,763,-3.30192,1596654545239
1472,10,2,0,0,763,-3.3042622,1596964482501
6431,10,13,0,0,801,-3.3042622,1609975044501
619,10,12,0,0,763,-3.3042622,1596784675827
7916,10,10,0,0,771,-3.3042622,1612468901379
2488,10,13,0,0,783,-3.3042622,1599661234342
2436,10,9,0,0,752,-3.3042622,1598222171265
386,10,2,0,0,763,-3.3042622,1596691972589
1508,10,2,0,0,732,-3.3042622,1596397771960
338,10,6,0,0,763,-3.3042622,1596647451881
6352,10,13,0,0,801,-3.3042622,1609846094087
322,10,2,0,0,763,-3.3042622,1596646161390
1635,10,6,0,0,743,-3.3042622,1597688533226
344,10,2,0,0,763,-3.3042622,1596647552673
3943,10,13,0,0,763,-3.3042622,1602988817765
4490,10,2,1,0,544,-3.3046434,1605663247934
4565,12,15,1,500,544,-3.3181088,1605739644674
