,wardrobe_size,wardrobe_color,wardrobe_style,wardrobe_price,wardrobe_designer,scores,wardrobe_id
486,4,19,6,0,763,-1.6445771,1596704098094
1193,4,12,6,0,763,-1.6445771,1596930370220
6856,2,0,6,0,403,-1.6521534,1611861788493
7932,2,0,6,0,403,-1.6521534,1612568553485
2840,2,0,6,0,403,-1.6521534,1600616638117
3195,2,0,6,0,403,-1.6521534,1601927295564
5083,2,0,6,0,462,-1.6521534,1607224328936
3618,4,21,1,0,818,-1.6565285,1603649991819
692,0,20,6,500,763,-1.6891247,1596787873168
704,0,20,6,500,763,-1.6891247,1596788540123
1152,0,20,6,500,763,-1.6891247,1596928917956
1466,2,21,9,0,763,-1.6904916,1596962648467
2554,0,2,2,0,94,-1.6937068,1599754448533
1537,0,2,2,0,73,-1.6937068,1576618140519
5240,2,2,6,0,544,-1.7017024,1607932040852
7147,2,2,6,0,571,-1.7017024,1612168647335
7451,2,2,6,0,571,-1.7017024,1612168956401
2020,2,2,6,0,571,-1.7017024,1597990836023
4597,2,2,6,0,602,-1.7017024,1605775619783
1898,2,2,6,0,571,-1.7017024,1597990629643
1871,2,2,6,0,571,-1.7017024,1597990595367
3469,2,2,6,0,550,-1.7017024,1602786899381
5999,2,2,6,0,544,-1.7017024,1609200035197
2257,2,2,6,0,591,-1.7017024,1591931704093
7020,2,2,6,0,571,-1.7017024,1612168508632
12,6,9,2,0,763,-1.7106886,1596574071588
11,6,9,2,0,763,-1.7106886,1596574058396
57,14,9,2,0,763,-1.7106886,1596578059528
56,12,9,2,0,763,-1.7106886,1596578044095
13,8,9,2,0,763,-1.7106886,1596574083930
8014,2,20,6,0,127,-1.7163519,1612907747994
3138,4,8,2,0,48,-1.7175127,1601757257756
2122,4,6,2,0,73,-1.7175127,1585076373583
5006,4,6,2,0,73,-1.7175127,1606932780325
6457,2,9,6,0,801,-1.72293,1609976800909
6707,4,20,6,0,95,-1.7327846,1611094676346
5210,4,20,6,0,48,-1.7327846,1607932014151
2942,4,11,6,0,632,-1.7681315,1600979260592
4624,4,19,6,0,632,-1.7681315,1605775812886
6664,4,12,6,0,632,-1.7681315,1610929589260
7678,2,20,6,500,571,-1.7765976,1612169084735
3052,0,0,6,0,633,-1.7943664,1601339443211
6531,2,2,3,0,300,-1.7981936,1610144064742
3637,2,2,2,0,220,-1.8071514,1603682949064
2339,2,2,2,0,342,-1.8071514,1599261581176
8234,2,2,2,0,442,-1.8071514,1613603165549
8274,2,2,2,0,398,-1.8071514,1613757596532
5881,2,2,2,0,431,-1.8071514,1608832195958
3525,2,2,2,0,403,-1.8071514,1603222702649
2738,2,2,2,0,403,-1.8071514,1600270543373
