wardrobe_id,wardrobe_size,wardrobe_color,wardrobe_style,wardrobe_price,wardrobe_created_at_ms,wardrobe_designer,wardrobe_photo_signature
wardrobe-1612168535559,10,Green,Side slit,278,1612168535559,Nina Canacci,wardrobe-1612168535559
wardrobe-1612168536133,0,Red,Side slit,278,1612168536133,Nina Canacci,wardrobe-1612168536133
wardrobe-1612168536581,4,Red,Side slit,278,1612168536581,Nina Canacci,wardrobe-1612168536581
wardrobe-1612168537059,6,Red,Side slit,278,1612168537059,Nina Canacci,wardrobe-1612168537059
wardrobe-1612168537541,8,Red,Side slit,278,1612168537541,Nina Canacci,wardrobe-1612168537541
wardrobe-1612168538023,0,White,Ball gown,338,1612168538023,Nina Canacci,wardrobe-1612168538023
wardrobe-1612168538583,2,White,Ball gown,338,1612168538583,Nina Canacci,wardrobe-1612168538583
wardrobe-1612168539009,4,White,Ball gown,338,1612168539009,Nina Canacci,wardrobe-1612168539009
wardrobe-1612168539453,6,White,Ball gown,338,1612168539453,Nina Canacci,wardrobe-1612168539453
wardrobe-1612168539891,8,White,Ball gown,338,1612168539891,Nina Canacci,wardrobe-1612168539891
wardrobe-1612168540361,10,White,Ball gown,338,1612168540361,Nina Canacci,wardrobe-1612168540361
wardrobe-1612168540859,12,White,Ball gown,338,1612168540859,Nina Canacci,wardrobe-1612168540859
wardrobe-1612168541308,14,White,Ball gown,338,1612168541308,Nina Canacci,wardrobe-1612168541308
wardrobe-1612168541790,16,White,Ball gown,338,1612168541790,Nina Canacci,wardrobe-1612168541790
wardrobe-1612168542248,18,White,Ball gown,338,1612168542248,Nina Canacci,wardrobe-1612168542248
wardrobe-1612168542703,20,White,Ball gown,338,1612168542703,Nina Canacci,wardrobe-1612168542703
wardrobe-1612168543165,22,White,Ball gown,338,1612168543165,Nina Canacci,wardrobe-1612168543165
wardrobe-1612168543618,6,Black,Side slit,278,1612168543618,Nina Canacci,wardrobe-1612168543618
wardrobe-1612168544206,8,Black,Side slit,278,1612168544206,Nina Canacci,wardrobe-1612168544206
wardrobe-1612168544798,12,Black,Side slit,278,1612168544798,Nina Canacci,wardrobe-1612168544798
wardrobe-1612168545367,14,Black,Side slit,278,1612168545367,Nina Canacci,wardrobe-1612168545367
wardrobe-1612168545970,16,Black,Side slit,278,1612168545970,Nina Canacci,wardrobe-1612168545970
wardrobe-1612168546537,18,Black,Side slit,278,1612168546537,Nina Canacci,wardrobe-1612168546537
wardrobe-1612168547157,20,Black,Side slit,278,1612168547157,Nina Canacci,wardrobe-1612168547157
wardrobe-1612168547773,22,Black,Side slit,278,1612168547773,Nina Canacci,wardrobe-1612168547773
wardrobe-1612168548369,24,Black,Side slit,278,1612168548369,Nina Canacci,wardrobe-1612168548369
wardrobe-1612168549004,2,White,A-line,298,1612168549004,Nina Canacci,wardrobe-1612168549004
wardrobe-1612168549810,4,White,A-line,298,1612168549810,Nina Canacci,wardrobe-1612168549810
wardrobe-1612168550617,6,White,A-line,298,1612168550617,Nina Canacci,wardrobe-1612168550617
wardrobe-1612168551384,8,White,A-line,298,1612168551384,Nina Canacci,wardrobe-1612168551384
wardrobe-1612168552111,10,White,A-line,298,1612168552111,Nina Canacci,wardrobe-1612168552111
wardrobe-1612168553100,12,White,A-line,298,1612168553100,Nina Canacci,wardrobe-1612168553100
wardrobe-1612168553874,14,White,A-line,298,1612168553874,Nina Canacci,wardrobe-1612168553874
wardrobe-1612168554639,16,White,A-line,298,1612168554639,Nina Canacci,wardrobe-1612168554639
